torch_name,onnx_name
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear1.weight,onnx::MatMul_9192
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear1.bias,b1.a46.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear2.weight,onnx::MatMul_9197
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear2.bias,b1.a47.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm1.weight,b1.a56.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm1.bias,b1.a56.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm2.weight,b1.a57.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm2.bias,b1.a57.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear1.weight,onnx::MatMul_9305
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear1.bias,b1.a58.fc1.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear2.weight,onnx::MatMul_9306
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear2.bias,b1.a58.fc2.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.earth_specific_bias,onnx::Add_9303
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear1.weight,onnx::MatMul_9299
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear1.bias,b1.a54.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear2.weight,onnx::MatMul_9304
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear2.bias,b1.a55.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm1.weight,b1.a64.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm1.bias,b1.a64.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm2.weight,b1.a65.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm2.bias,b1.a65.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear1.weight,onnx::MatMul_9318
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear1.bias,b1.a66.fc1.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear2.weight,onnx::MatMul_9319
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear2.bias,b1.a66.fc2.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.earth_specific_bias,onnx::Add_9316
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear1.weight,onnx::MatMul_9312
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear1.bias,b1.a62.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear2.weight,onnx::MatMul_9317
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear2.bias,b1.a63.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm1.weight,b1.a72.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm1.bias,b1.a72.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm2.weight,b1.a73.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm2.bias,b1.a73.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear1.weight,onnx::MatMul_9425
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear1.bias,b1.a74.fc1.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear2.weight,onnx::MatMul_9426
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.linear.linear2.bias,b1.a74.fc2.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.earth_specific_bias,onnx::Add_9423
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear1.weight,onnx::MatMul_9419
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear1.bias,b1.a70.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear2.weight,onnx::MatMul_9424
